RegioS;nitrogen_excretion
Aa en Hunze;118
Aalburg;
Aalsmeer;17
Aalten;350
Ter Aar;
Aarle-Rixtel;
Abcoude;
Achtkarspelen;351
Akersloot;
Alblasserdam;158
Albrandswaard;31
Alkemade;
Alkmaar;201
Almelo;390
Almere;107
Alphen aan den Rijn;276
Alphen en Riel;
Alphen-Chaam;400
Altena;146
Ambt Delden;
Ambt Montfort;
Ameland;158
Amerongen;
Amersfoort;276
Ammerzoden;
Amstelveen;189
Amsterdam;199
Andijk;
Angerlo;
Anloo;
Anna Paulowna;
Apeldoorn;364
Appingedam;
Arcen en Velden;
Arnemuiden;
Arnhem;91
Assen;101
Asten;847
Avereest;
Axel;
Baarle-Nassau;510
Baarn;318
Bakel en Milheeze;
Barendrecht;44
Barneveld;990
Bathmen;
Bedum;
Beek (L.);148
Beek en Donk;
Beekdaelen;75
Beemster;234
Beesel;190
Beilen;
Belfeld;
Bellingwedde;
Bemmel;
Bennebroek;
Berg en Dal;196
Bergambacht;
Bergeijk;372
Bergen (L.);255
Bergen (NH.);139
Bergen op Zoom;119
Bergeyk;
Bergh;
Bergschenhoek;
Berkel en Rodenrijs;
Berkel-Enschot;
Berkelland;375
Berlicum;
Bernheze;1075
Bernisse;
Best;1136
Beuningen;218
Beverwijk;202
het Bildt;
De Bilt;251
Binnenmaas;
Bladel;681
Bladel en Netersel;
Blaricum;75
Bleiswijk;
Bloemendaal;213
Boarnsterhim;
Bodegraven;
Bodegraven-Reeuwijk;340
Boekel;799
Ten Boer;
Bolsward;
Borculo;
Borger;
Borger-Odoorn;103
Born;
Borne;236
Borsele;30
Boskoop;
Boxmeer;484
Boxtel;503
Brakel;
Breda;177
Brederwiede;
Breukelen;
Brielle;70
Broekhuizen;
Bronckhorst;273
Brouwershaven;
Bruinisse;
Brummen;227
Brunssum;70
Budel;
Bunnik;292
Bunschoten;320
Buren;198
Bussum;
Capelle aan den IJssel;175
Castricum;214
Chaam;
Coevorden;197
Cothen;
Cranendonck;278
Cromstrijen;
Cuijk;391
Culemborg;254
Dalen;
Dalfsen;381
Dantumadeel;
Dantumadiel;273
Delft;369
Delfzijl;
Denekamp;
Deurne;754
Deventer;337
Didam;
Diemen;216
Diepenheim;
Diepenveen;
Diessen;
Diever;
Dijk en Waard;
Dinkelland;362
Dinteloord en Prinsenland;
Dinxperlo;
Dirksland;
Dodewaard;
Doesburg;172
Doetinchem;465
Domburg;
Dongen;299
Dongeradeel;
Doorn;
Dordrecht;35
Drechterland;179
Driebergen-Rijsenburg;
Drimmelen;195
Dronten;89
Drunen;
Druten;416
Duiveland;
Duiven;201
Den Dungen;
Dussen;
Dwingeloo;
Echt;
Echteld;
Echt-Susteren;211
Edam-Volendam;219
Ede;1121
Eelde;
Eemnes;197
Eemsdelta;157
Eemsmond;
Eersel;469
Egmond;
Eibergen;
Eijsden;
Eijsden-Margraten;150
Eindhoven;83
Elburg;269
Elst;
Emmen;110
Enkhuizen;214
Enschede;230
Epe;376
Ermelo;554
Esch;
Etten-Leur;291
Ferwerderadeel;
Ferwerderadiel;
Fijnaart en Heijningen;
Franekeradeel;
De Friese Meren;
De Fryske Marren;291
Gaasterlân-Sleat;
Gasselte;
Geertruidenberg;254
Geldermalsen;
Geldrop;
Geldrop-Mierlo;410
Geleen;
Gemert;
Gemert-Bakel;683
Gendringen;
Gendt;
Genemuiden;
Gennep;270
Giessenlanden;
Gieten;
Gilze en Rijen;376
Goedereede;
Goeree-Overflakkee;60
Goes;37
Goirle;465
Gooise Meren;270
Goor;
Gorinchem;226
Gorssel;
Gouda;87
Graafstroom;
Graft-De Rijp;
Gramsbergen;
Grave;383
's-Graveland;
's-Gravendeel;
's-Gravenhage (gemeente);93
's-Gravenmoer;
's-Gravenzande;
Groenlo;
Groesbeek;
Groningen (gemeente);218
Grootegast;
Grubbenvorst;
Gulpen;
Gulpen-Wittem;142
Haaksbergen;359
Haaren;
Haarlem;197
Haarlemmerliede en Spaarnwoude;
Haarlemmermeer;51
Haelen;
Halderberge;218
Halsteren;
Den Ham;
Hardenberg;331
Harderwijk;602
Hardinxveld-Giessendam;250
Haren;
Harenkarspel;
Harlingen;221
Harmelen;
Hasselt;
Hattem;245
Havelte;
Hedel;
Heel;
Heemskerk;232
Heemstede;168
Heerde;257
Heerenveen;305
Heerewaarden;
Heerhugowaard;202
Heerjansdam;
Heerlen;333
Heesch;
Heeze;
Heeze-Leende;528
Heiloo;201
Heino;
Helden;
Den Helder;7
Hellendoorn;432
Hellevoetsluis;45
Helmond;538
Helvoirt;
Hendrik-Ido-Ambacht;0
Hengelo (Gld.);
Hengelo (O.);214
's-Hertogenbosch;456
Heteren;
Heumen;271
Heusden;248
Heythuysen;
Hillegom;25
Hilvarenbeek;525
Hilversum;216
Hoeksche Waard;33
Hoevelaken;
Hoeven;
Hof van Twente;451
Het Hogeland;127
Hollands Kroon;102
Holten;
Hontenisse;
Hooge en Lage Mierde;
Hooge en Lage Zwaluwe;
Hoogeloon, Hapert en Casteren;
Hoogeveen;283
Hoogezand-Sappemeer;
Hoorn;128
Horst;
Horst aan de Maas;316
Houten;232
Huijbergen;
Huissen;
Huizen;115
Hulst;65
Hummelo en Keppel;
Hunsel;
IJsselham;
IJsselmuiden;
IJsselstein;290
Jacobswoude;
Kaag en Braassem;271
Kampen;301
Kapelle;62
Katwijk;104
Kerkrade;77
Kerkwijk;
Kessel;
Kesteren;
Klundert;
Koggenland;224
Kollumerland en Nieuwkruisland;
Korendijk;
Krimpen aan den IJssel;0
Krimpenerwaard;287
Laarbeek;494
Land van Cuijk;
Landerd;566
Landgraaf;133
Landsmeer;174
Langbroek;
Langedijk;102
Lansingerland;112
Laren (NH.);0
Leek;
Leende;
Leerdam;
Leersum;
Leeuwarden;301
Leeuwarderadeel;
Leiden;311
Leiderdorp;263
Leidschendam;
Leidschendam-Voorburg;269
Lelystad;103
Lemsterland;
Leudal;467
Leusden;347
Lichtenvoorde;
Liemeer;
Liempde;
Lienden;
De Lier;
Lieshout;
Liesveld;
Limmen;
Lingewaal;
Lingewaard;186
Lisse;129
Lith;
Littenseradiel;
Lochem;289
Loenen;
Loon op Zand;348
Loosdrecht;
Lopik;306
Loppersum;
Losser;268
Luyksgestel;
Maarheeze;
Maarn;
Maarssen;
Maartensdijk;
Maasbracht;
Maasbree;
Maasdonk;
Maasdriel;274
Maasgouw;97
Maashorst;
Maasland;
Maassluis;228
Maastricht;42
Made;
Made en Drimmelen;
Margraten;
Mariekerke;
Markelo;
De Marne;
Marum;
Maurik;
Medemblik;153
Meerlo-Wanssum;
Meerssen;90
Meierijstad;554
Meijel;
Menaldumadeel;
Menameradiel;
Menterwolde;
Meppel;265
Middelburg (Z.);65
Middelharnis;
Midden-Delfland;285
Midden-Drenthe;206
Midden-Groningen;125
Middenschouwen;
Middenveld;
Mierlo;
Mill en Sint Hubert;522
Millingen aan de Rijn;
Moerdijk;74
Moergestel;
Molenlanden;333
Molenwaard;
Monster;
Montferland;361
Montfoort;445
Mook en Middelaar;242
Moordrecht;
Muiden;
Naaldwijk;
Naarden;
Neder-Betuwe;354
Nederhorst den Berg;
Nederlek;
Nederweert;903
Neede;
Neerijnen;
Niedorp;
Nieuwegein;24
Nieuwerkerk aan den IJssel;
Nieuw-Ginneken;
Nieuwkoop;274
Nieuw-Lekkerland;
Nieuwleusen;
Nieuw-Vossemeer;
Nijefurd;
Nijeveen;
Nijkerk;503
Nijmegen;38
Nissewaard;117
Noardeast-Fryslân;210
Noord-Beveland;56
Noordenveld;203
Noorder-Koggenland;
Noordoostpolder;66
Noordwijk;25
Noordwijkerhout;
Nootdorp;
Norg;
Nuenen, Gerwen en Nederwetten;358
Nunspeet;413
Nuth;
Obdam;
Odoorn;
Oegstgeest;256
Oirschot;545
Oisterwijk;390
Oldambt;138
Oldebroek;331
Oldenzaal;154
Olst;
Olst-Wijhe;322
Ommen;371
Onderbanken;
Oost Gelre;514
Oost-, West- en Middelbeers;
Oostburg;
Oosterhesselen;
Oosterhout;273
Oostflakkee;
Ooststellingwerf;311
Oostzaan;105
Ootmarsum;
Opmeer;291
Opsterland;284
Oss;527
Ossendrecht;
Oud en Nieuw Gastel;
Oud-Beijerland;
Oude IJsselstreek;298
Oudenbosch;
Ouder-Amstel;247
Ouderkerk;
Oudewater;398
Overbetuwe;238
Papendrecht;72
Peel en Maas;410
Peize;
Pekela;81
Pijnacker;
Pijnacker-Nootdorp;158
Prinsenbeek;
Purmerend;214
Putte;
Putten;553
Raalte;416
Raamsdonk;
Ravenstein;
Reeuwijk;
Reiderland;
Reimerswaal;97
Renkum;84
Renswoude;943
Reusel;
Reusel-De Mierden;682
Rheden;208
Rhenen;614
Ridderkerk;121
Riethoven;
Rijnsburg;
Rijnwaarden;
Rijnwoude;
Rijsbergen;
Rijssen;
Rijssen-Holten;376
Rijswijk (ZH.);0
Roden;
Roerdalen;153
Roermond;96
Roggel en Neer;
Rolde;
De Ronde Venen;312
Roosendaal;196
Roosendaal en Nispen;
Rosmalen;
Rossum;
Rotterdam;130
Rozenburg;
Rozendaal;0
Rucphen;303
Ruinen;
Ruinerwold;
Ruurlo;
Sas van Gent;
Sassenheim;
Schagen;125
Scheemda;
Schermer;
Scherpenzeel;1546
Schiedam;168
Schiermonnikoog;137
Schijndel;
Schinnen;
Schipluiden;
Schoonebeek;
Schoonhoven;
Schoorl;
Schouwen-Duiveland;43
Sevenum;
Simpelveld;172
Sint Anthonis;737
Sint-Michielsgestel;337
Sint-Oedenrode;
Sittard;
Sittard-Geleen;90
Skarsterlân;
Sleen;
Sliedrecht;271
Slochteren;
Sluis;44
Sluis-Aardenburg;
Smallingerland;290
Smilde;
Sneek;
Soest;239
Someren;864
Son en Breugel;546
Spijkenisse;
Sprang-Capelle;
St. Anthonis;
Stad Delden;
Stadskanaal;93
Standdaarbuiten;
Staphorst;304
Stede Broec;14
Steenbergen;71
Steenderen;
Steenwijk;
Steenwijkerland;249
Stein (L.);165
Stichtse Vecht;293
Stramproy;
Strijen;
Súdwest-Fryslân;300
Susteren;
Swalmen;
Tegelen;
Terheijden;
Terneuzen;36
Terschelling;205
Teteringen;
Texel;112
Teylingen;151
Tholen;61
Thorn;
Tiel;86
Tilburg;352
Tubbergen;442
Twenterand;300
Tynaarlo;156
Tytsjerksteradiel;279
Ubbergen;
Uden;736
Udenhout;
Uitgeest;252
Uithoorn;205
Urk;1114
Utrecht (gemeente);180
Utrechtse Heuvelrug;415
Vaals;202
Valburg;
Valkenburg (ZH.);
Valkenburg aan de Geul;114
Valkenisse;
Valkenswaard;310
Veendam;102
Veenendaal;311
Veere;125
Veghel;
Veldhoven;221
Velsen;133
Venhuizen;
Venlo;149
Venray;1028
Vessem, Wintelre en Knegsel;
Vianen;
Vierlingsbeek;
Vijfheerenlanden;278
Vlaardingen;107
Vlagtwedde;
Vledder;
Vleuten-De Meern;
Vlieland;0
Vlijmen;
Vlissingen;63
Vlist;
Voerendaal;115
Voorburg;
Voorhout;
Voorschoten;197
Voorst;347
Vorden;
Vries;
Vriezenveen;
Vught;238
Waadhoeke;217
Waalre;322
Waalwijk;220
Waddinxveen;105
Wageningen;150
Warmond;
Warnsveld;
Waspik;
Wassenaar;208
Wateringen;
Waterland;229
Weerselo;
Weert;550
Weesp;220
Wehl;
Werkendam;
Wervershoof;
West Betuwe;238
West Maas en Waal;382
Westerbork;
Westerhoven;
Wester-Koggenland;
Westerkwartier;279
Westerschouwen;
Westerveld;218
Westervoort;59
Westerwolde;105
Westkapelle;
Westland;36
Weststellingwerf;312
Westvoorne;99
Wierden;416
Wieringen;
Wieringermeer;
Wijchen;236
Wijdemeren;201
Wijhe;
De Wijk;
Wijk bij Duurstede;259
Willemstad;
Winschoten;
Winsum;
Winterswijk;246
Wisch;
Wittem;
Woensdrecht;200
Woerden;316
Wognum;
De Wolden;288
Wormerland;256
Woudenberg;546
Woudrichem;
Wouw;
Wûnseradiel;
Wymbritseradiel;
Zaanstad;200
Zaltbommel;240
Zandvoort;0
Zederik;
Zeevang;
Zeewolde;160
Zeist;304
Zelhem;
Zevenaar;259
Zevenbergen;
Zevenhuizen-Moerkapelle;
Zierikzee;
Zijpe;
Zoetermeer;294
Zoeterwoude;258
Zuidhorn;
Zuidlaren;
Zuidplas;97
Zuidwolde;
Zundert;254
Zutphen;241
Zwartewaterland;295
Zwartsluis;
Zweeloo;
Zwijndrecht;90
Zwolle;320
Bron: CBS;
